"id_campo","nome_campo","descricao_do_campo","obrigatorio_sim_nao","tipo_de_dado","formato_esperado","modulo_da_ferramenta","origem_no_codigo","informacao_necessaria","fonte_preferencial","status_de_preenchimento","observacoes"
"hpProjeto/capProjeto","Nome do projeto","Identificacao do projeto de PPP","Sim","texto","livre","Inicio (index.html)","gtsefaz_capa_* / gtsefaz_projeto_atual.nome","Nome do projeto","PDF/XLSM","Preenchido","[identificacao do projeto] CAFF"
"hpOrgao/capOrgao","Orgao concedente","Orgao/secretaria responsavel","Sim","texto","livre","Inicio","gtsefaz_capa_orgao","Orgao","PDF","Preenchido","[identificacao do projeto] SERG/SPGG/Estado RS"
"hpPeriodo/capPeriodo","Periodo","Periodo de referencia","Nao","texto","livre","Inicio","gtsefaz_capa_periodo","Periodo/ano","PDF/XLSM","Preenchido","[prazo] 2026 / 30 anos"
"hpProa/capProa","Processo PROA/SEI","Numero do processo administrativo","Nao","texto","livre","Inicio","gtsefaz_capa_proa","Nº PROA/SEI","Documento administrativo","Nao localizado","[identificacao do projeto] Nao consta nos documentos"
"hpResp/capResp","Responsavel","Responsavel pelo preenchimento","Nao","texto","livre","Inicio","gtsefaz_capa_resp","Responsavel","Documento","Preenchido","[identificacao do projeto] BNDES/RECAFF (estruturacao)"
"hpData/capData","Data","Data de preenchimento","Nao","data","DD/MM/AAAA","Inicio","gtsefaz_capa_data","Data","-","Preenchido","[identificacao do projeto] 23/06/2026"
"capObs","Observacoes da capa","Observacoes gerais","Nao","texto","livre","Inicio","gtsefaz_capa_obs","Observacoes","-","Preenchido","[objeto da PPP] Modalidade/objeto"
"psc.header","Identificacao (M1)","Cabecalho do levantamento de custo publico","Sim","texto","livre","M1 PSC","psc_cage_rs_v2.header","Nome/orgao/exercicio","XLSM","Preenchido","[diagnostico da prestacao atual] -"
"psc.rows.capex[]","CAPEX publico anual","Investimentos anualizados do modelo atual","Sim","lista{item,modal,valor}","R$","M1 PSC","tbody-capex / rows.capex","CAPEX atual anual","XLSM","Lacuna","[custo atual do Estado] Nao discriminado nos documentos"
"psc.rows.opex[]","OPEX publico anual","Operacao e manutencao do modelo atual","Sim","lista{item,modal,valor}","R$","M1 PSC","tbody-opex / rows.opex","OPEX atual anual","XLSM '00. PAINEL' G28","Preenchido","[custo atual do Estado] R$ 30,95 mi/ano + alugueis externos"
