"id_campo","nome_campo","informacao_preenchida","fonte","arquivo","pagina_pdf","secao_pdf","aba_xlsx","celula_ou_intervalo_xlsx","trecho_ou_descricao_da_evidencia","tipo_de_evidencia","grau_de_confianca","justificativa_do_grau_de_confianca","ha_divergencia_sim_nao","descricao_da_divergencia","observacao_para_validacao_humana"
"identificacao","Objeto da PPP","Reforma, equipagem, operacao e manutencao do CAFF + receitas acessorias","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","4","Apresentacao","-","-","'reforma, equipagem, operacao e manutencao ... do CAFF'","texto","Alta","Texto expresso no objeto do estudo","Nao","-","-"
"modalidade","Modalidade","Concessao Administrativa (PPP, Lei 11.079/2004)","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","4/2","Apresentacao/capa","-","-","'Parceria Publico-Privada (PPP) na modalidade Concessao Administrativa'","texto","Alta","Expresso","Nao","-","-"
"prazo","Prazo do contrato","30 anos","Documental","Apresentacao CGCPPP CAFF (17/03/2026)","16/27","Contrato/Licitacao","00. PAINEL","E10/G10","'PRAZO 30 anos' e XLSM Prazo Contrato=30","texto+celula","Alta","Confirmado em PDF e XLSM","Nao","-","-"
"capex","CAPEX total do projeto","R$ 1,33 bilhao (~R$ 5,7 mil/m2)","Documental","Apresentacao CGCPPP CAFF (17/03/2026)","18","CAPEX e Faseamento","00. PAINEL","G21/G19","'CAPEX total de R$ 1,3 bilhao'; XLSM Invest total 1.291,6 mi","texto+celula","Alta","Expresso na apresentacao; XLSM proximo (1,29-1,33 bi conforme escopo de reinvest.)","Sim","CAPEX 1,33 bi (apr.) vs Invest. total 1.291,6 mi (XLSM G21) vs Invest. obrigatorio 1.115,6 (G12)","Conferir escopo: obrigatorio vs total c/ reinvestimentos"
"opex.atual","Custo OPEX atual do Estado (CAFF)","R$ 30,95 mi/ano (R$ 294/m2)","Documental","Modelo CAFF 2026.03.16_v2.xlsm (16/03/2026)","-","-","00. PAINEL DE RESULTADOS","G28/G29","'OPEX Atual CAFF (para referencia) = 30,95'","celula","Alta","Valor explicito em celula do painel do modelo","Nao","-","Unico dado de custo ATUAL desagregado disponivel"
"opex.projeto","OPEX do projeto (PPP)","R$ 80,6 mi/ano total (60,7 obrig.+13,6 rec.aces.+6,3 adm)","Documental","Apresentacao CGCPPP CAFF (17/03/2026)","19","OPEX","00. PAINEL","G23","Apresentacao 'OPEX R$ 80,6 mi/ano'; XLSM OPEX obrig. 58,7","texto+celula","Media","Apresentacao da o total; XLSM isola o obrigatorio","Sim","OPEX total 80,6 (apr.) vs obrigatorio 58,7 (XLSM G23)","Conciliar perimetro de OPEX"
"contraprestacao","Contraprestacao publica","R$ 262,3 mi/ano (R$ 21,86 mi/mes)","Documental","Apresentacao CGCPPP CAFF (17/03/2026)","4/24","Contraprestacao","00. PAINEL","G38/G33","'Contraprestacao mensal max R$ 21,86 mi'; XLSM 262,3/ano","texto+celula","Alta","Confirmado PDF+XLSM","Sim","262,0 mi (VfM PDF Tab.1) vs 262,3 mi (XLSM G38)","Diferenca de arredondamento"
"taxa_desconto","Taxa de desconto (TSD)","8,5% real a.a.","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","18","3.1 Taxa de desconto","12. Affordability e VfM","G7/G8","'Taxa Social de Desconto de 8,5% ao ano'","texto+celula","Alta","Expresso e confirmado em celula","Nao","-","-"
"wacc","WACC real (privado)","10,23%","Documental","Apresentacao CGCPPP CAFF (17/03/2026)","26","Benchmarks","00. PAINEL","G42","'WACC Real Medio 10,23%'; TIR projeto 10,23%","texto+celula","Alta","Expresso","Nao","-","Nao confundir com TSD (usada no VfM)"
"vfm","Value for Money","R$ 188,5 mi (modelo) / R$ 192,7 mi (Produto 10)","Documental","Analise de Value for Money (Produto 10, 10/03/2026)","35/23","4. Resultado VfM","12. Affordability e VfM","G27","VfM PDF 192,7; XLSM G27=188,47; apr. 188,5","texto+celula","Media","Valor depende da versao do modelo","Sim","VfM 192,7 mi (PDF 10/03; PSC 1.937,4/PPP 1.744,7) vs 188,5 mi (XLSM 16/03 e apr. 17/03; PSC 1.904,7/PPP 1.716,2)","CONCILIAR antes do edital - usar a versao mais recente (XLSM/apresentacao)"
