"item","custo_potencial","previsto_no_estudo_sim_nao_parcial","fonte","localizacao","evidencia","valor_estimado","responsavel_pelo_custo","observacoes","recomendacao"
"1","Contraprestacao publica","Sim","Modelo CAFF 2026.03.16_v2.xlsm (16/03/2026)/Apresentacao CGCPPP CAFF (17/03/2026)","00. PAINEL G38 / apr. p.4","Contraprestacao max R$ 262,3 mi/ano (21,86/mes)","R$ 262,3 mi/ano","Estado","Principal desembolso do Estado","Monitorar afericao pelo FDISP/FID"
"2","Aporte publico","Nao","Apresentacao CGCPPP CAFF (17/03/2026)","Benchmarks p.26","Aporte = n.a. para o CAFF","R$ 0","-","Sem aporte previsto","Confirmar no edital"
"3","Subsidios","Nao","Analise de Value for Money (Produto 10, 10/03/2026)","-","Concessao administrativa sem tarifa de usuario","R$ 0","-","Nao aplicavel","-"
"4","Garantias publicas","Sim","Apresentacao CGCPPP CAFF (17/03/2026)","Parecer previo p.38 / Anexo IX","FPE como garantia subsidiaria + RRF; vinculacao de receitas","Nao quantificado","Estado","Garantia de pagamento da contraprestacao","Detalhar limite e gatilhos no contrato de garantia"
"5","Custos de estruturacao","Sim (parcial)","Analise de Value for Money (Produto 10, 10/03/2026)","p.26 / capa","Estruturacao BNDES (OCS 330/2024); estudos+B3 expurgados do PSC","Nao isolado","Estado/Compartilhado","Custo via investimento da PPP","Obter valor da remuneracao de estudos"
"6","Ressarcimento de estudos","Parcial","Analise de Value for Money (Produto 10, 10/03/2026)","p.26","'remuneracao dos estudos e da B3'","Nao isolado","Concessionaria->Estado","Expurgado do PSC; pago pelo vencedor","Explicitar no edital"
"7","Consultorias tecnicas","Parcial","Analise de Value for Money (Produto 10, 10/03/2026)","capa p.41","Consorcio RECAFF (engenharia, modelagem)","Nao isolado","Estado/BNDES","Estruturacao","-"
"8","Consultorias juridicas","Parcial","Apresentacao CGCPPP CAFF (17/03/2026)","p.38","Revisao da modelagem juridica pela PGE; Machado Meyer (estrutur.)","Nao isolado","Estado","PGE + escritorio","-"
"9","Consultorias economico-financeiras","Parcial","Analise de Value for Money (Produto 10, 10/03/2026)","capa","Radar PPP (modelagem econ-fin)","Nao isolado","Estado/BNDES","Estruturacao","-"
"10","Fiscalizacao contratual","Sim","Analise de Value for Money (Produto 10, 10/03/2026)","p.21 Tab.2","Equipe publica de gestao contratual","R$ 453,4 mil/ano (VPL 4,9 mi)","Estado","5 cargos (gerente+4 especialistas)","Confirmar dimensionamento da equipe"
"11","Verificador independente","Sim","Apresentacao CGCPPP CAFF (17/03/2026)","p.17 / Anexo IV-X","Relatorios trimestrais; afericao do ID","Nao isolado","Estado","Custo nao destacado no fluxo","Estimar e incluir no orcamento de gestao"
"12","Certificador de implantacao","Parcial","Apresentacao CGCPPP CAFF (17/03/2026)","Anexo X","Diretrizes p/ contratacao de terceiros independentes","Nao quantificado","Estado/Compartilhado","Possivel certificador de obra","Definir no edital"
"13","Regulacao","Parcial","Apresentacao CGCPPP CAFF (17/03/2026)","p.4","Regulacao e fiscalizacao pelo Estado","Nao quantificado","Estado","Atividade-fim do Estado","-"
"14","Gestao contratual","Sim","Analise de Value for Money (Produto 10, 10/03/2026)","p.21","Equipe de gestao contratual (ver item 10)","R$ 453,4 mil/ano","Estado","-","-"
"15","Desapropriacoes","Nao","Apresentacao CGCPPP CAFF (17/03/2026)","p.4/8","Terreno publico existente (122.051 m2)","R$ 0 (estimado)","-","Sem aquisicao de area identificada","Confirmar inexistencia"
"16","Reassentamentos","Nao","Apresentacao CGCPPP CAFF (17/03/2026)","-","Nao identificado","R$ 0","-","Nao aplicavel ao complexo administrativo","-"
"17","Licencas ambientais","Sim (parcial)","Apresentacao CGCPPP CAFF (17/03/2026)","Anexo V","Diretrizes p/ licenciamento ambiental; risco transferido","Nao quantificado","Compartilhado/Privado","Licenciamento sob responsabilidade do privado","Acompanhar obtencao das licencas"
"18","Compensacoes ambientais","Parcial","Apresentacao CGCPPP CAFF (17/03/2026)","Anexo V","Possiveis compensacoes ambientais","Nao quantificado","Compartilhado","Nao detalhado","Levantar"
"19","Remocao de interferencias","Parcial","Apresentacao CGCPPP CAFF (17/03/2026)","-","Remanejamento de redes possivel","Nao quantificado","Compartilhado","Nao detalhado","Levantar em projeto executivo"
"20","Obras complementares do Estado","Parcial","Apresentacao CGCPPP CAFF (17/03/2026)","-","Atividades-fim e adequacoes internas","Nao quantificado","Estado","-","-"
"21","Acessos viarios","Sim (qualit.)","Apresentacao CGCPPP CAFF (17/03/2026)","p.5-6/29","Novo acesso CAFF; melhoria da malha viaria e mobilidade","Nao quantificado","Compartilhado","Requalificacao urbana","Definir responsabilidade"
"22","Redes (agua/esgoto/energia/telecom)","Parcial","Apresentacao CGCPPP CAFF (17/03/2026)","p.14","Utilidades com migracao p/ ACL pela concessionaria","Nao quantificado","Concessionaria","Energia/agua na operacao","-"
"23","Custos de transicao operacional","Sim","Analise de Value for Money (Produto 10, 10/03/2026)","p.31 / apr. faseamento","Transicao dos servicos hoje prestados; 3 fases","Nao quantificado","Estado","Operacao paralela durante obras","Detalhar plano de transicao"
"24","Treinamento de servidores","Nao","Apresentacao CGCPPP CAFF (17/03/2026)","-","Nao identificado","R$ 0","-","Nao consta","-"
"25","Sistemas de informacao","Parcial","Apresentacao CGCPPP CAFF (17/03/2026)","-","Operacao paralela de TI durante transicao","Nao quantificado","Estado","Nao detalhado","-"
"26","Integracao tecnologica","Parcial","Apresentacao CGCPPP CAFF (17/03/2026)","-","Conectividade/TIC provisoria","Nao quantificado","Estado","Nao detalhado","-"
"27","Manutencao de servicos remanescentes","Sim","Apresentacao CGCPPP CAFF (17/03/2026)","p.4","Atividades-fim das secretarias permanecem com o Estado","Nao quantificado","Estado","-","-"
"28","Seguros assumidos pelo Estado","Nao","Analise de Value for Money (Produto 10, 10/03/2026)","p.25-26","Seguros e garantias sao da PPP (expurgados do PSC)","R$ 0","Concessionaria","Estado nao assume seguros","-"
"29","Riscos retidos","Sim","Analise de Value for Money (Produto 10, 10/03/2026)","p.13","Riscos politicos e forca maior retidos","Nao quantificado","Estado","Ver M2","Detalhar no Anexo VII"
"30","Riscos compartilhados","Sim","Analise de Value for Money (Produto 10, 10/03/2026)","p.14","Forca maior, mudanca de legislacao","Nao quantificado","Compartilhado","Ver M2","-"
"31","Reequilibrios economico-financeiros","Sim","Apresentacao CGCPPP CAFF (17/03/2026)","Anexo VI-VII","Eventos de reequilibrio previstos","Contingente","Estado","Contingente explicito","Provisionar"
"32","Indenizacoes","Parcial","Apresentacao CGCPPP CAFF (17/03/2026)","Matriz de risco","Indenizacao em rescisao/encampacao","Contingente","Estado","Contingente","-"
"33","Pagamentos por extincao antecipada","Sim","Apresentacao CGCPPP CAFF (17/03/2026)","Anexo (penalidades)/p.38","Termino antecipado - garantia FPE/RRF","Contingente","Estado","Contingente","Estimar exposicao"
"34","Bens reversiveis","Sim","Analise de Value for Money (Produto 10, 10/03/2026)","p.16","Reversibilidade do ativo ao Estado","-","Estado (recebe)","Beneficio + obrigacao de manutencao","Definir criterios de reversao"
"35","Custos de encerramento","Parcial","Analise de Value for Money (Produto 10, 10/03/2026)","p.16 / M4 F.8","Reversao de bens ao final","Nao quantificado","Estado","-","Detalhar"
"36","Passivos trabalhistas","Nao","Analise de Value for Money (Produto 10, 10/03/2026)","p.14","Encargos trabalhistas com o privado (O&M)","R$ 0","Concessionaria","Transferido ao privado","-"
"37","Passivos ambientais","Parcial","Analise de Value for Money (Produto 10, 10/03/2026)","p.13","Contaminacao pre-existente tende a ser do Estado","Contingente","Estado","Pre-existentes retidos","Due diligence ambiental"
"38","Contingencias judiciais","Parcial","Apresentacao CGCPPP CAFF (17/03/2026)","Matriz de risco","Litigios/arbitragem previstos","Contingente","Estado/Compartilhado","-","-"
"39","Custos tributarios","Sim","Analise de Value for Money (Produto 10, 10/03/2026)","p.23","Neutralidade competitiva (tributos da PPP)","-R$ 462,4 mi VP (ajuste)","Estado (sociedade)","PIS/COFINS/ISS/IRPJ/CSLL","Ajuste metodologico no VfM"
"40","Impacto fiscal de longo prazo","Sim","Analise de Value for Money (Produto 10, 10/03/2026)","p.38-39","Comprometimento de 0,49% da RCL por 30 anos","R$ 262,3 mi/ano","Estado","-","Monitorar LRF/STN 138/2023"
"41","Limite legal de comprometimento da RCL","Sim","Analise de Value for Money (Produto 10, 10/03/2026)","p.39 Tab.4","0,49% vs limite 5%","Limite 3.261,65 mi","Estado","Folga confortavel","-"
